timestamp,decision_id,decision_maker,decision_maker_role,scope,decision,rationale,evidence_or_request,status,subject_sha256,supersedes
2026-07-15T16:49:48+09:00,C14RC-TARGET-001,project-teacher,TEACHER_RESEARCHER,target-expressions,ACCEPT,정확한 목표 표현을 원형 속담 하나로 확정한다.,2026-07-15 Codex 작업에서 교사 연구자가 모두 승인이라고 응답함; DRAFT_SCOPE.md,CONFIRMED,db9031e0c350486e7faf42c1c6fff8627a4ff90077e514d942927a8ed53bfcac,
2026-07-15T16:50:09+09:00,C14RC-EXPOSURE-001,project-teacher,TEACHER_RESEARCHER,answer-exposure,CONSTRAIN,본문 문제 풀이 뒤 복습 경로로 제한하고 본문 1번 정답 문장은 12개 컷 문장에 추가하지 않는다.,2026-07-15 교사 전체 승인; DRAFT_SCOPE.md 승인된 교사 결정 2-3,CONFIRMED,,
2026-07-15T16:50:14+09:00,C14RC-VISUAL-001,project-teacher,TEACHER_RESEARCHER,visual-assets,CONSTRAIN,기존 WebP를 제외하고 승인된 의미 매핑을 코드와 인라인 SVG 12단계 장면으로 구현한다.,2026-07-15 교사 전체 승인; DRAFT_SCOPE.md 승인된 교사 결정 4 및 자산 감사,CONFIRMED,,
2026-07-15T16:50:19+09:00,C14RC-COPYRIGHT-001,project-teacher,TEACHER_RESEARCHER,copyright-scope,ACCEPT,로컬 c14 읽기 본문과 writing-cut의 12개 문장 및 대체 텍스트 재사용 범위를 승인한다.,2026-07-15 교사 전체 승인; DRAFT_SCOPE.md 승인된 교사 결정 5,CONFIRMED,,
2026-07-15T16:50:25+09:00,C14RC-DESIGN-001,project-teacher,TEACHER_RESEARCHER,design-package,ACCEPT,"한국어 전용 비채점 탐색, 12단계 코드 시각, 승인된 문구와 상호작용 계약 전체를 채택한다.","2026-07-15 교사 응답 모두 승인; material-spec.yml, knowledge-map.yml, interaction-spec.yml, feedback-map.yml",CONFIRMED,,
2026-07-15T17:30:11+09:00,C14RC-SCOPE-002,project-teacher,TEACHER_RESEARCHER,scope-correction,CONSTRAIN,승인된 DRAFT_SCOPE와 일치하도록 이번 읽기 컷툰에는 핵심어 칩을 넣지 않고 코드 기반 시각 대체만 사용한다.,2026-07-15 사용자 메시지: 모두 승인. 승인 대상 DRAFT_SCOPE에는 핵심어 칩을 넣지 않는 범위가 명시되어 있다.,CONFIRMED,,
2026-07-15T17:52:05+09:00,C14RC-A11Y-003,project-teacher,TEACHER_RESEARCHER,accessibility-help-label,ACCEPT,닫힌 도움말 내용은 먼저 노출하지 않고 버튼의 접근 가능한 이름을 이동 도움말로 분리한다.,2026-07-15 사용자 메시지: 모두 승인. 승인 범위의 접근성·선택 도움말 구현을 실브라우저 감사 결과에 맞게 구체화했다.,CONFIRMED,,
2026-07-15T18:21:53+09:00,C14RC-VISUAL-004,project-teacher,TEACHER_RESEARCHER,visual-assets,MODIFY,"화면의 12개 인라인 SVG 장면을 두 장의 6컷 AI 생성 WebP 스프라이트로 전부 교체한다. 이미지에는 글자를 넣지 않고, 장면 대체 텍스트·문장·선택 윤곽·순서 상태와 코드 기반 오류 대체는 유지한다.",2026-07-15 사용자 지시: svg를 생성한 이미지로 전체 교체,CONFIRMED,,C14RC-VISUAL-001
2026-07-15T19:41:06+09:00,C14RC-SCOPE-005,project-teacher,TEACHER_RESEARCHER,scope-correction,MODIFY,"핵심어 칩 제외는 유지하고, 코드 기반 시각 대체만 사용한다는 제한만 C14RC-VISUAL-004에 따라 두 AI_GENERATED 6컷 WebP 스프라이트와 CODE 오류 대체로 수정한다.",2026-07-15 사용자 직접 지시: svg를 생성한 이미지로 전체 교체; C14RC-VISUAL-004,CONFIRMED,,C14RC-SCOPE-002
2026-07-15T19:41:07+09:00,C14RC-DESIGN-006,project-teacher,TEACHER_RESEARCHER,design-package,MODIFY,"한국어 전용 비채점 탐색과 승인 문구·상호작용 계약은 유지하고, 12단계 코드 시각 절만 C14RC-VISUAL-004의 두 AI_GENERATED 스프라이트와 CODE 오류 대체 계약으로 교체한다.",2026-07-15 사용자 직접 지시: svg를 생성한 이미지로 전체 교체; C14RC-VISUAL-004,CONFIRMED,,C14RC-DESIGN-001
2026-07-15T20:23:55+09:00,C14RC-LAYOUT-007,project-teacher,TEACHER_RESEARCHER,layout-and-learner-copy,MODIFY,"기본 보기에서는 그림을 왼쪽에 두고, 큰 그림 보기에서는 현재 문장을 그림 위에 표시하며 이전/다음으로 컷과 문장을 함께 이동한다. 전환 문구는 큰 그림 보기와 기본 보기로 한다.",2026-07-15 사용자 직접 요청 및 비활성화 요청 폐기 후 작업 재개 지시,CONFIRMED,,
2026-07-15T20:44:53+09:00,C14RC-VISUAL-008,project-teacher,TEACHER_RESEARCHER,visual-assets,MODIFY,"사용자 제공 ChatGPT Image 두 고유 원본을 4:3으로 크롭·경량화해 기존 스프라이트를 교체하고 이미지 안 글자 없음 조건은 적용하지 않는다. 승인 문장과 충돌하는 6번 컷의 내려갔다 문구는 크롭으로 제외한다.",2026-07-15 사용자 직접 지시: 이미지 안 글자 없음 조건은 무시하고 진행할 것,CONFIRMED,,C14RC-VISUAL-004
2026-07-15T21:10:00+09:00,C14RC-VISUAL-009,project-teacher,TEACHER_RESEARCHER,visual-assets,MODIFY,"고증과 품질 문제가 있는 기존 두 스프라이트를 폐기하고 조선 후기 평민의 상투·망건·저고리·바지·대님·짚신과 농촌 한옥을 명시한 무문자 고품질 이미지 두 장을 새로 생성해 연결한다.",2026-07-15 사용자 직접 지시: 고증에 맞도록 이미지를 새로 생성하여 연결,CONFIRMED,,C14RC-VISUAL-008
